timestamp,frame_count,fps
2026-03-24T18:30:15.320914,30,2.522
2026-03-24T18:30:26.286818,60,2.806
2026-03-24T18:30:36.620827,90,2.925
2026-03-24T18:30:46.873439,120,2.958
2026-03-24T18:31:00.323567,150,2.382
2026-03-24T18:31:12.490675,180,2.549
2026-03-24T18:31:23.913636,210,2.683
2026-03-24T18:31:34.867624,240,2.764
2026-03-24T18:31:45.865370,270,2.783
2026-03-24T18:31:56.712562,300,2.783
2026-03-24T18:32:07.379352,330,2.829
2026-03-24T18:32:18.244626,360,2.783
2026-03-24T18:32:29.147630,390,2.766
2026-03-24T18:32:40.089174,420,2.761
2026-03-24T18:32:50.701874,450,2.835
2026-03-24T18:33:03.991569,480,2.286
2026-03-24T18:33:16.407397,510,2.465
2026-03-24T18:33:26.651728,540,2.96
2026-03-24T18:33:36.807058,570,2.977
2026-03-24T18:33:47.081897,600,2.949
2026-03-24T18:33:56.954716,630,3.047
2026-03-24T18:34:06.871918,660,3.033
2026-03-24T18:34:16.874301,690,3.019
2026-03-24T18:34:26.819245,720,3.024
2026-03-24T18:34:36.772499,750,3.026
2026-03-24T18:34:46.672777,780,3.039
2026-03-24T18:34:56.641668,810,3.015
2026-03-24T18:35:07.006205,840,2.923
2026-03-24T18:35:17.257728,870,2.939
2026-03-24T18:35:29.659384,900,2.544
2026-03-24T18:35:39.581759,930,3.036
2026-03-24T18:35:50.073305,960,2.887
2026-03-24T18:36:00.164205,990,2.99
2026-03-24T18:36:10.066655,1020,3.044
2026-03-24T18:36:19.881755,1050,3.062
2026-03-24T18:36:29.811192,1080,3.032
2026-03-24T18:36:39.614501,1110,3.069
2026-03-24T18:36:49.480521,1140,3.051
2026-03-24T18:36:59.443397,1170,3.021
2026-03-24T18:37:09.655729,1200,2.97
2026-03-24T18:37:19.521249,1230,3.047
2026-03-24T18:37:29.432625,1260,3.041
2026-03-24T18:37:39.293929,1290,3.05
2026-03-24T18:37:49.175951,1320,3.042
2026-03-24T18:37:59.117106,1350,3.028
2026-03-24T18:38:08.875139,1380,3.08
2026-03-24T18:38:18.757061,1410,3.046
2026-03-24T18:38:28.593838,1440,3.058
2026-03-24T18:38:38.534783,1470,3.024
2026-03-24T18:38:48.655590,1500,2.984
2026-03-24T18:38:58.612467,1530,3.026
2026-03-24T18:39:08.656315,1560,3.011
2026-03-24T18:39:18.604555,1590,3.03
2026-03-24T18:39:28.318126,1620,3.094
2026-03-24T18:39:38.079227,1650,3.079
2026-03-24T18:39:47.974876,1680,3.046
2026-03-24T18:40:00.171664,1710,2.611
2026-03-24T18:40:13.176594,1740,2.445
2026-03-24T18:40:23.626696,1770,2.903
2026-03-24T18:40:33.642080,1800,3.007
2026-03-24T18:40:43.547228,1830,3.042
2026-03-24T18:40:53.426488,1860,3.043
2026-03-24T18:41:03.465586,1890,3.001
2026-03-24T18:41:13.483233,1920,3.017
2026-03-24T18:41:23.297834,1950,3.063
2026-03-24T18:41:33.775982,1980,2.9
2026-03-24T18:41:44.495794,2010,2.849
2026-03-24T18:41:54.465341,2040,3.025
2026-03-24T18:42:04.382320,2070,3.036
2026-03-24T18:42:14.325666,2100,3.031
2026-03-24T18:42:24.177580,2130,3.054
2026-03-24T18:42:33.974403,2160,3.067
2026-03-24T18:42:44.044333,2190,2.992
2026-03-24T18:42:56.170120,2220,2.55
2026-03-24T18:43:08.073676,2250,2.601
2026-03-24T18:43:25.213707,2280,1.831
2026-03-24T18:43:39.100099,2310,2.276
2026-03-24T18:43:51.852020,2340,2.482
2026-03-24T18:44:07.437878,2370,2.172
2026-03-24T18:44:18.999816,2400,2.624
2026-03-24T18:44:31.969556,2430,2.464
2026-03-24T18:44:43.970105,2460,2.543
2026-03-24T18:44:55.363236,2490,2.668
2026-03-24T18:45:07.143195,2520,2.593
2026-03-24T18:45:20.614310,2550,2.38
2026-03-24T18:45:32.219430,2580,2.686
2026-03-24T18:45:44.131580,2610,2.598
2026-03-24T18:45:58.960911,2640,2.214
2026-03-24T18:46:10.435086,2670,2.677
2026-03-24T18:46:22.396825,2700,2.591
2026-03-24T18:46:35.250010,2730,2.399
2026-03-24T18:46:47.606035,2760,2.524
2026-03-24T18:46:58.898761,2790,2.718
2026-03-24T18:47:12.130903,2820,2.366
2026-03-24T18:47:25.388641,2850,2.363
2026-03-24T18:47:40.501872,2880,2.164
2026-03-24T18:47:53.113793,2910,2.463
2026-03-24T18:48:03.532730,2940,2.904
2026-03-24T18:48:13.986795,2970,2.884
2026-03-24T18:48:24.132192,3000,2.97
2026-03-24T18:48:35.530590,3030,2.767
2026-03-24T18:48:47.212262,3060,2.635
2026-03-24T18:48:58.113964,3090,2.8
2026-03-24T18:49:09.415465,3120,2.703
2026-03-24T18:49:23.071587,3150,2.384
2026-03-24T18:49:34.741686,3180,2.643
2026-03-24T18:49:45.344551,3210,2.848
