timestamp,temperature_C,cpu_percent,memory_percent,cpu_freq_MHz,cpu_voltage_V,throttled_flags_hex
2026-03-24T18:29:59.886657,52.9,100.0,13.5,2400.02048,0.8487,0x0
2026-03-24T18:30:00.915410,52.35,36.1,14.2,2400.033792,0.8487,0x0
2026-03-24T18:30:01.932868,52.9,45.7,15.4,2400.030464,0.8487,0x0
2026-03-24T18:30:02.950893,52.35,51.1,16.1,2400.02048,0.8487,0x0
2026-03-24T18:30:03.976150,54.55,41.5,16.5,2400.030464,0.8487,0x0
2026-03-24T18:30:04.996858,55.1,58.8,16.8,2400.02048,0.8487,0x0
2026-03-24T18:30:06.023169,54.55,57.6,16.9,2400.030464,0.8487,0x0
2026-03-24T18:30:07.046757,54.55,72.3,16.9,2400.02048,0.8487,0x0
2026-03-24T18:30:08.068108,54.55,67.1,16.8,2400.023808,0.8487,0x0
2026-03-24T18:30:09.084938,54.0,70.5,16.5,2400.027136,0.8487,0x0
2026-03-24T18:30:10.102935,54.55,57.3,16.5,2400.030464,0.8487,0x0
2026-03-24T18:30:11.120112,55.1,57.0,16.5,2400.023808,0.8487,0x0
2026-03-24T18:30:12.137984,54.55,61.0,16.4,2400.030464,0.8487,0x0
2026-03-24T18:30:13.158453,55.65,66.9,16.5,2400.023808,0.8487,0x0
2026-03-24T18:30:14.180598,55.65,68.7,16.3,2400.017408,0.8487,0x0
2026-03-24T18:30:15.200844,56.75,61.3,16.2,2400.02048,0.8487,0x0
2026-03-24T18:30:16.221360,56.2,68.5,16.1,2400.03712,0.8487,0x0
2026-03-24T18:30:17.248410,55.65,65.0,16.3,2400.023808,0.8487,0x0
2026-03-24T18:30:18.277787,56.2,65.5,16.4,2400.02048,0.8487,0x0
2026-03-24T18:30:19.297982,56.2,53.8,16.2,2400.033792,0.8487,0x0
2026-03-24T18:30:20.320442,54.55,51.6,16.3,2400.027136,0.8487,0x0
2026-03-24T18:30:21.339046,55.65,51.4,16.4,2400.02048,0.8487,0x0
2026-03-24T18:30:22.360165,56.2,55.1,16.3,2400.030464,0.8487,0x0
2026-03-24T18:30:23.380525,56.2,62.3,16.3,2400.030464,0.8487,0x0
2026-03-24T18:30:24.403282,56.2,57.8,16.2,2400.02048,0.8487,0x0
2026-03-24T18:30:25.426541,58.4,65.0,16.3,2400.030464,0.8487,0x0
2026-03-24T18:30:26.448686,57.85,58.1,16.6,2400.02048,0.8487,0x0
2026-03-24T18:30:27.468382,56.75,55.3,17.0,2400.023808,0.8487,0x0
2026-03-24T18:30:28.487614,56.2,53.7,16.8,2400.030464,0.8487,0x0
2026-03-24T18:30:29.508040,56.75,52.7,16.4,2400.023808,0.8487,0x0
2026-03-24T18:30:30.527849,55.65,50.9,16.3,2400.02048,0.8487,0x0
2026-03-24T18:30:31.545546,56.2,53.3,16.4,2400.033792,0.8487,0x0
2026-03-24T18:30:32.567741,57.3,56.8,16.2,2400.030464,0.8487,0x0
2026-03-24T18:30:33.586441,56.75,62.2,15.9,2400.023808,0.8487,0x0
2026-03-24T18:30:34.612370,56.2,60.6,15.9,2400.027136,0.8487,0x0
2026-03-24T18:30:35.638251,56.75,57.4,15.8,2400.027136,0.8487,0x0
2026-03-24T18:30:36.669307,57.85,54.0,15.6,2400.030464,0.8487,0x0
2026-03-24T18:30:37.690733,57.3,67.3,15.9,2400.023808,0.8487,0x0
2026-03-24T18:30:38.715704,57.85,61.4,15.8,2400.02048,0.8487,0x0
2026-03-24T18:30:39.737332,56.75,55.6,15.8,2400.02048,0.8487,0x0
2026-03-24T18:30:40.755512,56.75,53.0,15.6,2400.030464,0.8487,0x0
2026-03-24T18:30:41.777306,57.3,52.1,15.9,2400.023808,0.8487,0x0
2026-03-24T18:30:42.803708,57.3,53.0,16.0,2400.030464,0.8487,0x0
2026-03-24T18:30:43.822094,57.85,53.1,15.9,2400.023808,0.8487,0x0
