timestamp,temperature_C,cpu_percent,memory_percent,cpu_freq_MHz,cpu_voltage_V,throttled_flags_hex,num_threads,running_threads
2026-03-28T12:21:34.269143,50.15,50.0,10.8,2400.030464,0.8487,0x0,4,1
2026-03-28T12:21:35.285872,50.7,34.2,11.3,2400.023808,0.8487,0x0,7,1
2026-03-28T12:21:36.302249,50.7,24.9,11.7,2400.027136,0.8487,0x0,7,1
2026-03-28T12:21:37.319051,50.15,28.0,12.1,2400.02048,0.8487,0x0,15,0
2026-03-28T12:21:38.335436,50.7,42.4,12.7,2400.033792,0.8487,0x0,20,3
2026-03-28T12:21:39.360777,51.25,57.1,13.2,2400.033792,0.8487,0x0,20,3
2026-03-28T12:21:40.382877,52.35,52.8,13.1,2400.033792,0.8487,0x0,20,1
2026-03-28T12:21:41.402857,51.8,51.4,13.3,2400.023808,0.8487,0x0,20,1
2026-03-28T12:21:42.427193,50.7,52.7,13.2,2400.02048,0.8487,0x0,20,1
2026-03-28T12:21:43.448578,52.9,57.5,13.0,2400.033792,0.8487,0x0,20,3
2026-03-28T12:21:44.478234,52.35,73.4,13.1,2400.03712,0.8487,0x0,20,1
2026-03-28T12:21:45.501483,52.35,63.6,13.0,2400.03712,0.8487,0x0,20,1
2026-03-28T12:21:46.530773,52.35,54.0,12.9,2400.03712,0.8487,0x0,20,1
2026-03-28T12:21:47.550633,51.8,53.8,13.0,2400.03712,0.8487,0x0,20,3
2026-03-28T12:21:48.570420,51.8,57.1,12.9,2400.033792,0.8487,0x0,20,2
2026-03-28T12:21:49.591342,53.45,57.3,13.0,2400.027136,0.8487,0x0,20,3
2026-03-28T12:21:50.622983,52.35,58.9,13.0,2400.030464,0.8487,0x0,20,1
2026-03-28T12:21:51.643501,52.9,56.3,13.0,2400.027136,0.8487,0x0,20,1
2026-03-28T12:21:52.670085,53.45,54.1,13.1,2400.027136,0.8487,0x0,20,3
2026-03-28T12:21:53.689225,52.35,56.7,12.8,2400.033792,0.8487,0x0,20,3
2026-03-28T12:21:54.711551,52.35,54.8,13.0,2400.027136,0.8487,0x0,20,1
2026-03-28T12:21:55.733453,52.35,54.1,12.7,2400.02048,0.8487,0x0,20,1
2026-03-28T12:21:56.759809,52.35,55.0,12.6,2400.023808,0.8487,0x0,20,1
2026-03-28T12:21:57.780087,52.9,52.2,12.6,2400.017408,0.8487,0x0,20,2
2026-03-28T12:21:58.799375,54.0,54.2,12.5,2400.023808,0.8487,0x0,20,0
2026-03-28T12:21:59.819235,53.45,53.6,13.1,2400.027136,0.8487,0x0,20,2
2026-03-28T12:22:00.845319,52.9,53.2,13.2,2400.033792,0.8487,0x0,20,3
2026-03-28T12:22:01.869642,53.45,51.0,13.2,2400.027136,0.8487,0x0,20,1
2026-03-28T12:22:02.888098,52.9,58.6,13.0,2400.023808,0.8487,0x0,20,1
2026-03-28T12:22:03.907558,53.45,53.8,12.9,2400.02048,0.8487,0x0,20,3
2026-03-28T12:22:04.931983,51.25,52.8,13.0,2400.027136,0.8487,0x0,20,2
2026-03-28T12:22:05.956954,53.45,52.0,12.7,2400.030464,0.8487,0x0,20,3
2026-03-28T12:22:06.979162,51.8,52.2,12.6,2400.03712,0.8487,0x0,20,1
2026-03-28T12:22:07.999112,52.9,53.4,12.6,2400.030464,0.8487,0x0,21,3
2026-03-28T12:22:09.021532,52.9,53.0,13.0,2400.033792,0.8487,0x0,20,2
2026-03-28T12:22:10.041651,54.55,53.0,13.2,2400.030464,0.8487,0x0,20,1
2026-03-28T12:22:11.060709,52.9,52.2,13.2,2400.023808,0.8487,0x0,20,3
2026-03-28T12:22:12.081239,52.9,51.1,13.2,2400.030464,0.8487,0x0,20,2
2026-03-28T12:22:13.101056,53.45,53.4,13.1,2400.023808,0.8487,0x0,20,2
2026-03-28T12:22:14.128315,55.1,56.4,13.3,2400.027136,0.8487,0x0,20,4
2026-03-28T12:22:15.148775,53.45,52.5,13.4,2400.027136,0.8487,0x0,20,3
2026-03-28T12:22:16.173545,55.1,67.2,13.5,2400.030464,0.8487,0x0,20,3
2026-03-28T12:22:17.203108,53.45,61.1,13.3,2400.030464,0.8487,0x0,20,2
2026-03-28T12:22:18.221118,54.55,63.9,13.2,2400.027136,0.8487,0x0,20,1
2026-03-28T12:22:19.247691,55.65,89.3,13.3,2400.023808,0.8487,0x0,20,1
2026-03-28T12:22:20.375747,54.55,80.3,13.3,2400.02048,0.8487,0x0,20,1
2026-03-28T12:22:21.392922,55.1,61.2,13.1,2400.023808,0.8487,0x0,20,1
2026-03-28T12:22:22.416138,55.65,51.5,12.9,2400.023808,0.8487,0x0,20,1
2026-03-28T12:22:23.437443,55.1,72.3,12.8,2400.030464,0.8487,0x0,20,1
2026-03-28T12:22:24.460822,54.55,64.7,12.8,2400.030464,0.8487,0x0,20,1
2026-03-28T12:22:25.485032,54.0,71.8,12.8,2400.023808,0.8487,0x0,20,1
2026-03-28T12:22:26.509584,56.2,68.6,12.9,2400.023808,0.8487,0x0,20,3
2026-03-28T12:22:27.527606,55.65,61.7,13.2,2400.033792,0.8487,0x0,20,0
