timestamp,frame_count,fps
2026-03-24T19:49:11.724868,30,3.14
2026-03-24T19:49:19.606337,60,3.86
2026-03-24T19:49:27.062783,90,4.05
2026-03-24T19:49:34.251386,120,4.189
2026-03-24T19:49:41.816634,150,4.078
2026-03-24T19:49:50.107938,180,3.783
2026-03-24T19:49:59.912406,210,3.265
2026-03-24T19:50:08.964603,240,3.534
2026-03-24T19:50:17.745340,270,3.463
2026-03-24T19:50:26.248887,300,3.617
2026-03-24T19:50:38.877568,330,2.522
2026-03-24T19:50:50.022517,360,2.938
2026-03-24T19:50:57.682057,390,3.967
2026-03-24T19:51:05.459100,420,3.962
2026-03-24T19:51:13.382064,450,3.936
2026-03-24T19:51:20.887912,480,4.063
2026-03-24T19:51:28.273907,510,4.098
2026-03-24T19:51:35.630624,540,4.101
2026-03-24T19:51:42.954260,570,4.121
2026-03-24T19:51:50.303032,600,4.116
2026-03-24T19:51:57.702069,630,4.105
2026-03-24T19:52:05.062919,660,4.115
2026-03-24T19:52:12.388563,690,4.121
2026-03-24T19:52:19.780832,720,4.099
2026-03-24T19:52:27.124452,750,4.123
2026-03-24T19:52:34.501174,780,4.096
2026-03-24T19:52:41.995132,810,4.064
2026-03-24T19:52:49.398137,840,4.095
2026-03-24T19:52:56.727321,870,4.12
2026-03-24T19:53:04.109447,900,4.102
2026-03-24T19:53:11.480381,930,4.099
2026-03-24T19:53:18.828618,960,4.119
2026-03-24T19:53:26.350182,990,4.055
2026-03-24T19:53:33.760180,1020,4.078
2026-03-24T19:53:41.122665,1050,4.111
2026-03-24T19:53:48.443807,1080,4.122
2026-03-24T19:53:55.804316,1110,4.106
2026-03-24T19:54:03.186786,1140,4.09
2026-03-24T19:54:10.623522,1170,4.096
2026-03-24T19:54:17.957544,1200,4.126
2026-03-24T19:54:25.322830,1230,4.112
2026-03-24T19:54:32.634556,1260,4.133
2026-03-24T19:54:39.997869,1290,4.108
2026-03-24T19:54:47.317369,1320,4.123
2026-03-24T19:54:54.826202,1350,4.073
2026-03-24T19:55:02.152659,1380,4.126
2026-03-24T19:55:09.832701,1410,3.987
2026-03-24T19:55:17.450089,1440,3.994
2026-03-24T19:55:25.241992,1470,3.934
2026-03-24T19:55:33.063355,1500,3.939
2026-03-24T19:55:41.260981,1530,3.786
2026-03-24T19:55:49.356454,1560,3.849
2026-03-24T19:55:59.271448,1590,3.233
2026-03-24T19:56:08.312880,1620,3.533
2026-03-24T19:56:17.396753,1650,3.509
