timestamp,frame_count,fps
2026-03-26T15:22:00.419820,30,2.751
2026-03-26T15:22:10.707096,60,2.957
2026-03-26T15:22:21.042750,90,2.974
2026-03-26T15:22:31.712253,120,2.939
2026-03-26T15:22:41.857913,150,3.022
2026-03-26T15:22:51.328796,180,3.299
2026-03-26T15:22:59.475198,210,3.729
2026-03-26T15:23:07.414963,240,3.794
2026-03-26T15:23:15.561047,270,3.731
2026-03-26T15:23:23.974982,300,3.671
2026-03-26T15:23:32.155850,330,3.715
2026-03-26T15:23:40.157359,360,3.774
2026-03-26T15:23:48.215424,390,3.766
2026-03-26T15:23:56.366553,420,3.727
2026-03-26T15:24:04.741352,450,3.642
2026-03-26T15:24:12.855716,480,3.733
2026-03-26T15:24:20.901013,510,3.754
2026-03-26T15:24:28.929458,540,3.782
2026-03-26T15:24:37.075843,570,3.739
2026-03-26T15:24:45.105940,600,3.755
2026-03-26T15:24:53.183661,630,3.754
2026-03-26T15:25:01.394881,660,3.7
2026-03-26T15:25:09.629091,690,3.685
2026-03-26T15:25:17.620608,720,3.771
2026-03-26T15:25:25.834124,750,3.702
2026-03-26T15:25:33.866225,780,3.78
2026-03-26T15:25:42.005139,810,3.756
2026-03-26T15:25:49.888065,840,3.822
2026-03-26T15:25:58.017115,870,3.74
2026-03-26T15:26:06.172251,900,3.711
2026-03-26T15:26:14.239301,930,3.749
2026-03-26T15:26:22.309803,960,3.734
2026-03-26T15:26:30.334766,990,3.766
2026-03-26T15:26:38.495459,1020,3.723
2026-03-26T15:26:46.472420,1050,3.777
2026-03-26T15:26:54.616019,1080,3.728
2026-03-26T15:27:03.007103,1110,3.613
2026-03-26T15:27:11.255800,1140,3.685
2026-03-26T15:27:19.630874,1170,3.627
2026-03-26T15:27:27.764167,1200,3.708
2026-03-26T15:27:36.079469,1230,3.64
2026-03-26T15:27:44.441373,1260,3.653
2026-03-26T15:27:52.801982,1290,3.653
2026-03-26T15:28:00.940707,1320,3.704
2026-03-26T15:28:09.275783,1350,3.623
2026-03-26T15:28:17.601656,1380,3.654
2026-03-26T15:28:25.989607,1410,3.616
2026-03-26T15:28:34.164992,1440,3.682
2026-03-26T15:28:42.473400,1470,3.661
2026-03-26T15:28:50.798365,1500,3.651
2026-03-26T15:28:59.200600,1530,3.617
2026-03-26T15:29:07.297922,1560,3.725
2026-03-26T15:29:15.572292,1590,3.67
2026-03-26T15:29:23.860458,1620,3.672
2026-03-26T15:29:32.168376,1650,3.642
2026-03-26T15:29:40.365113,1680,3.676
2026-03-26T15:29:48.650531,1710,3.672
2026-03-26T15:29:57.071528,1740,3.615
2026-03-26T15:30:05.635760,1770,3.549
2026-03-26T15:30:13.963682,1800,3.654
2026-03-26T15:30:22.328005,1830,3.646
2026-03-26T15:30:30.535971,1860,3.672
2026-03-26T15:30:38.826433,1890,3.663
2026-03-26T15:30:47.234092,1920,3.61
2026-03-26T15:30:55.638748,1950,3.618
2026-03-26T15:31:04.374118,1980,3.557
2026-03-26T15:31:12.586804,2010,3.676
2026-03-26T15:31:21.088215,2040,3.589
2026-03-26T15:31:29.398095,2070,3.653
2026-03-26T15:31:37.601484,2100,3.678
2026-03-26T15:31:45.960290,2130,3.629
2026-03-26T15:31:54.285416,2160,3.641
2026-03-26T15:32:02.683747,2190,3.631
2026-03-26T15:32:11.044468,2220,3.645
2026-03-26T15:32:19.182581,2250,3.699
2026-03-26T15:32:27.570598,2280,3.618
2026-03-26T15:32:35.940646,2310,3.64
2026-03-26T15:32:44.075544,2340,3.701
2026-03-26T15:32:52.386017,2370,3.662
2026-03-26T15:33:00.709268,2400,3.64
2026-03-26T15:33:09.187135,2430,3.584
2026-03-26T15:33:17.544935,2460,3.622
2026-03-26T15:33:25.661707,2490,3.715
2026-03-26T15:33:34.003737,2520,3.629
2026-03-26T15:33:42.329718,2550,3.656
2026-03-26T15:33:50.641210,2580,3.659
2026-03-26T15:33:58.910717,2610,3.65
2026-03-26T15:34:07.210134,2640,3.652
2026-03-26T15:34:15.545471,2670,3.641
2026-03-26T15:34:23.930376,2700,3.629
2026-03-26T15:34:32.244417,2730,3.664
2026-03-26T15:34:40.567757,2760,3.659
2026-03-26T15:34:48.741542,2790,3.689
