timestamp,temperature_C,cpu_percent,memory_percent,cpu_freq_MHz,cpu_voltage_V,throttled_flags_hex,num_threads,running_threads
2026-03-26T15:21:45.670210,55.1,50.0,26.3,2400.033792,0.852,0x0,1,1
2026-03-26T15:21:46.687587,55.1,39.1,27.1,2400.02048,0.852,0x0,4,1
2026-03-26T15:21:47.704086,56.2,45.4,27.4,2400.023808,0.852,0x0,11,1
2026-03-26T15:21:48.720611,56.75,26.2,28.0,2400.027136,0.852,0x0,15,1
2026-03-26T15:21:49.736737,55.65,38.3,28.4,2400.030464,0.852,0x0,24,3
2026-03-26T15:21:50.780433,58.4,74.3,28.7,2400.030464,0.852,0x0,22,2
2026-03-26T15:21:51.805112,58.4,70.1,28.9,2400.033792,0.852,0x0,24,1
2026-03-26T15:21:52.833248,59.5,78.0,29.0,2400.027136,0.852,0x0,22,3
2026-03-26T15:21:53.863169,58.95,75.7,29.3,2400.030464,0.852,0x0,24,4
2026-03-26T15:21:54.888546,59.5,84.0,29.3,2400.027136,0.852,0x0,24,1
2026-03-26T15:21:55.918119,58.95,76.8,29.2,2400.030464,0.852,0x0,24,4
2026-03-26T15:21:56.944428,59.5,73.1,29.2,2400.023808,0.852,0x0,22,1
2026-03-26T15:21:57.976633,59.5,78.4,28.9,2400.030464,0.852,0x0,24,
2026-03-26T15:21:58.999796,61.15,75.4,29.0,2400.03712,0.852,0x0,23,
2026-03-26T15:22:00.022066,59.5,72.7,29.2,2400.027136,0.852,0x0,22,4
2026-03-26T15:22:01.056555,59.5,73.3,29.0,2400.023808,0.852,0x0,24,1
2026-03-26T15:22:02.079889,61.7,74.3,29.1,2400.033792,0.852,0x0,22,4
2026-03-26T15:22:03.109151,60.6,74.0,29.2,2400.023808,0.852,0x0,22,2
2026-03-26T15:22:04.132073,60.6,74.4,29.2,2400.027136,0.852,0x0,22,2
2026-03-26T15:22:05.165933,61.15,73.3,29.3,2400.023808,0.852,0x0,22,3
2026-03-26T15:22:06.190996,61.15,73.5,29.3,2400.023808,0.852,0x0,22,2
2026-03-26T15:22:07.222170,60.6,71.9,29.2,2400.027136,0.852,0x0,24,3
2026-03-26T15:22:08.250208,61.15,73.4,29.0,2400.027136,0.852,0x0,23,4
2026-03-26T15:22:09.275641,60.05,71.4,29.2,2400.033792,0.852,0x0,24,
2026-03-26T15:22:10.305315,60.6,72.6,29.0,2400.023808,0.852,0x0,24,6
2026-03-26T15:22:11.432204,58.95,70.9,28.8,2400.027136,0.852,0x0,22,2
2026-03-26T15:22:12.460494,61.15,72.0,28.9,2400.02048,0.852,0x0,22,3
2026-03-26T15:22:13.490945,59.5,74.3,28.9,2400.03712,0.852,0x0,22,2
2026-03-26T15:22:14.517976,58.95,77.8,29.0,2400.033792,0.852,0x0,24,3
2026-03-26T15:22:15.551680,60.6,73.3,28.8,2400.023808,0.852,0x0,24,3
2026-03-26T15:22:16.576755,61.15,73.4,28.9,2400.02048,0.852,0x0,24,3
2026-03-26T15:22:17.605260,60.6,69.8,29.0,2400.03712,0.852,0x0,23,4
2026-03-26T15:22:18.631682,61.15,75.2,29.0,2400.030464,0.852,0x0,24,
2026-03-26T15:22:19.664762,60.6,76.1,29.0,2400.023808,0.852,0x0,24,
2026-03-26T15:22:20.791078,61.7,71.8,29.0,2400.03712,0.852,0x0,24,
2026-03-26T15:22:21.816158,60.05,73.4,28.8,2400.030464,0.852,0x0,22,4
2026-03-26T15:22:22.838142,61.15,71.8,28.9,2400.027136,0.852,0x0,24,1
2026-03-26T15:22:23.866571,62.8,77.3,29.1,2400.02048,0.852,0x0,22,1
2026-03-26T15:22:24.888601,60.6,72.3,29.1,2400.02048,0.852,0x0,24,
2026-03-26T15:22:25.912048,62.25,77.2,28.8,2400.023808,0.852,0x0,22,3
2026-03-26T15:22:26.939936,60.6,73.9,29.2,2400.030464,0.852,0x0,22,1
2026-03-26T15:22:27.966106,62.25,70.0,29.1,2400.027136,0.852,0x0,23,2
2026-03-26T15:22:28.988615,61.7,73.6,28.9,2400.027136,0.852,0x0,22,1
2026-03-26T15:22:30.016050,62.25,73.4,28.9,2400.030464,0.852,0x0,24,3
2026-03-26T15:22:31.036364,61.15,78.4,29.0,2400.030464,0.852,0x0,22,3
2026-03-26T15:22:32.063050,60.6,71.4,29.1,2400.027136,0.852,0x0,22,3
2026-03-26T15:22:33.103315,61.15,73.0,29.1,2400.023808,0.852,0x0,22,1
2026-03-26T15:22:34.123125,61.15,72.8,29.2,2400.023808,0.852,0x0,22,1
2026-03-26T15:22:35.147644,61.7,73.0,29.2,2400.03712,0.852,0x0,24,4
2026-03-26T15:22:36.176859,62.25,72.7,29.1,2400.033792,0.852,0x0,22,2
2026-03-26T15:22:37.304172,61.15,70.9,29.0,2400.030464,0.852,0x0,22,1
2026-03-26T15:22:38.324503,61.15,73.8,29.2,2400.03712,0.852,0x0,24,1
2026-03-26T15:22:39.351702,61.15,72.8,29.2,2400.030464,0.852,0x0,24,3
2026-03-26T15:22:40.385499,61.7,80.0,29.2,2400.027136,0.852,0x0,24,1
2026-03-26T15:22:41.409925,61.15,71.9,29.1,2400.02048,0.852,0x0,24,1
2026-03-26T15:22:42.433675,60.6,72.5,29.4,2400.023808,0.852,0x0,23,
2026-03-26T15:22:43.463762,62.25,74.4,29.3,2400.030464,0.852,0x0,24,2
2026-03-26T15:22:44.491423,62.8,71.6,29.1,2400.02048,0.852,0x0,22,2
2026-03-26T15:22:45.518980,61.7,72.6,29.1,2400.02048,0.852,0x0,24,1
2026-03-26T15:22:46.539436,62.8,74.5,29.2,2400.023808,0.852,0x0,24,6
2026-03-26T15:22:47.571383,62.8,73.5,29.0,2400.027136,0.852,0x0,24,1
2026-03-26T15:22:48.595910,62.8,77.0,29.1,2400.02048,0.852,0x0,22,0
2026-03-26T15:22:49.635921,63.35,71.1,29.1,2400.033792,0.852,0x0,23,2
2026-03-26T15:22:50.656816,62.25,71.1,28.9,2400.02048,0.852,0x0,24,1
2026-03-26T15:22:51.678087,61.7,70.1,29.0,2400.02048,0.852,0x0,23,
2026-03-26T15:22:52.703988,62.25,69.5,29.1,2400.02048,0.852,0x0,24,
2026-03-26T15:22:53.730076,62.8,69.6,29.3,2400.030464,0.852,0x0,22,1
2026-03-26T15:22:54.750499,61.15,71.1,29.4,2400.033792,0.852,0x0,22,2
2026-03-26T15:22:55.772929,62.25,71.4,29.6,2400.023808,0.852,0x0,22,3
2026-03-26T15:22:56.839377,62.8,70.7,29.3,2400.033792,0.852,0x0,24,3
2026-03-26T15:22:57.863452,62.8,71.4,29.2,2400.023808,0.852,0x0,23,4
2026-03-26T15:22:58.922167,62.25,74.9,29.2,2400.023808,0.852,0x0,24,3
2026-03-26T15:22:59.955723,62.25,73.0,29.2,2400.030464,0.852,0x0,23,4
2026-03-26T15:23:00.978094,61.7,71.0,29.2,2400.033792,0.852,0x0,24,2
2026-03-26T15:23:02.004063,62.8,70.5,29.3,2400.030464,0.852,0x0,24,1
2026-03-26T15:23:03.025150,63.35,70.4,29.6,2400.030464,0.852,0x0,22,3
2026-03-26T15:23:04.046972,62.8,71.2,29.6,2400.033792,0.852,0x0,24,2
2026-03-26T15:23:05.072933,61.7,70.9,29.3,2400.02048,0.852,0x0,24,1
2026-03-26T15:23:06.099712,62.25,69.2,29.2,2400.030464,0.852,0x0,22,1
2026-03-26T15:23:07.129137,62.25,69.1,29.3,2400.02048,0.852,0x0,24,2
2026-03-26T15:23:08.155325,62.8,70.8,29.3,2400.023808,0.852,0x0,24,1
2026-03-26T15:23:09.178005,62.25,72.6,29.0,2400.030464,0.852,0x0,22,1
2026-03-26T15:23:10.203855,62.25,76.4,29.3,2400.033792,0.852,0x0,22,1
