timestamp,npu_utilization_percent,hailo_temp_C,hailo_clock_MHz
2026-04-17T20:44:14.063347,,56.589481353759766,400.0
2026-04-17T20:44:16.488452,100.0,57.297691345214844,400.0
2026-04-17T20:44:18.690704,100.0,57.8541374206543,400.0
2026-04-17T20:44:20.893931,100.0,58.157657623291016,400.0
2026-04-17T20:44:23.096079,100.0,58.410587310791016,400.0
2026-04-17T20:44:25.299502,100.0,58.663516998291016,400.0
2026-04-17T20:44:27.502966,100.0,58.91645050048828,400.0
2026-04-17T20:44:29.705784,100.0,59.01762008666992,400.0
2026-04-17T20:44:31.908014,100.0,59.27055358886719,400.0
2026-04-17T20:44:34.110183,100.0,59.27055358886719,400.0
2026-04-17T20:44:36.313147,100.0,59.472896575927734,400.0
2026-04-17T20:44:38.516234,100.0,59.472896575927734,400.0
2026-04-17T20:44:40.719070,100.0,59.624656677246094,400.0
2026-04-17T20:44:42.922104,100.0,59.624656677246094,400.0
2026-04-17T20:44:45.124633,100.0,59.725830078125,400.0
2026-04-17T20:44:47.328241,100.0,59.725830078125,400.0
2026-04-17T20:44:49.530786,100.0,59.92817306518555,400.0
2026-04-17T20:44:51.732656,100.0,60.02934646606445,400.0
2026-04-17T20:44:53.934378,100.0,60.02934646606445,400.0
2026-04-17T20:44:56.136034,100.0,60.13051986694336,400.0
2026-04-17T20:44:58.339227,100.0,60.079933166503906,400.0
2026-04-17T20:45:00.542274,100.0,60.18110275268555,400.0
2026-04-17T20:45:02.744446,100.0,60.18110275268555,400.0
2026-04-17T20:45:04.946742,100.0,60.231689453125,400.0
2026-04-17T20:45:07.149675,100.0,60.28227615356445,400.0
2026-04-17T20:45:09.352124,100.0,60.43403625488281,400.0
2026-04-17T20:45:11.555649,100.0,60.43403625488281,400.0
2026-04-17T20:45:13.757631,100.0,60.28227615356445,400.0
2026-04-17T20:45:15.962135,91.4,60.332862854003906,400.0
2026-04-17T20:45:18.164649,100.0,60.28227615356445,400.0
2026-04-17T20:45:20.368951,100.0,60.38344955444336,400.0
2026-04-17T20:45:22.570675,100.0,60.38344955444336,400.0
2026-04-17T20:45:24.774295,100.0,60.43403625488281,400.0
2026-04-17T20:45:26.980707,100.0,60.484622955322266,400.0
2026-04-17T20:45:29.184303,100.0,60.53520965576172,400.0
2026-04-17T20:45:31.386172,100.0,60.484622955322266,400.0
2026-04-17T20:45:33.589055,100.0,60.43403625488281,400.0
2026-04-17T20:45:35.791218,100.0,60.43403625488281,400.0
2026-04-17T20:45:37.993167,100.0,60.484622955322266,400.0
2026-04-17T20:45:40.195991,100.0,60.43403625488281,400.0
2026-04-17T20:45:42.399161,100.0,60.484622955322266,400.0
2026-04-17T20:45:44.603894,100.0,60.585792541503906,400.0
2026-04-17T20:45:46.807086,100.0,60.53520965576172,400.0
2026-04-17T20:45:49.010833,100.0,60.484622955322266,400.0
2026-04-17T20:45:51.214330,100.0,60.585792541503906,400.0
2026-04-17T20:45:53.417470,100.0,60.53520965576172,400.0
2026-04-17T20:45:55.620191,100.0,60.484622955322266,400.0
2026-04-17T20:45:57.822399,100.0,60.484622955322266,400.0
2026-04-17T20:46:00.025569,100.0,60.484622955322266,400.0
2026-04-17T20:46:02.227703,100.0,60.63637924194336,400.0
2026-04-17T20:46:04.430352,100.0,60.53520965576172,400.0
2026-04-17T20:46:06.634723,100.0,60.43403625488281,400.0
2026-04-17T20:46:08.838735,100.0,60.484622955322266,400.0
2026-04-17T20:46:11.042358,100.0,60.585792541503906,400.0
2026-04-17T20:46:13.245671,100.0,60.38344955444336,400.0
2026-04-17T20:46:15.449283,86.7,60.43403625488281,400.0
2026-04-17T20:46:17.651119,94.1,60.53520965576172,400.0
2026-04-17T20:46:19.853847,94.7,60.38344955444336,400.0
2026-04-17T20:46:22.055814,94.1,60.38344955444336,400.0
2026-04-17T20:46:24.258794,94.6,60.38344955444336,400.0
2026-04-17T20:46:26.461576,94.8,60.43403625488281,400.0
2026-04-17T20:46:28.664266,94.4,60.43403625488281,400.0
2026-04-17T20:46:30.867130,94.5,60.43403625488281,400.0
2026-04-17T20:46:33.069733,93.2,60.332862854003906,400.0
2026-04-17T20:46:35.272301,94.5,60.332862854003906,400.0
2026-04-17T20:46:37.474218,93.3,60.28227615356445,400.0
2026-04-17T20:46:39.677038,94.1,60.332862854003906,400.0
2026-04-17T20:46:41.880673,94.8,60.332862854003906,400.0
2026-04-17T20:46:44.083062,94.6,60.28227615356445,400.0
2026-04-17T20:46:46.285867,94.4,60.332862854003906,400.0
2026-04-17T20:46:48.488851,92.8,60.38344955444336,400.0
2026-04-17T20:46:50.692144,94.1,60.43403625488281,400.0
2026-04-17T20:46:52.897692,91.0,60.38344955444336,400.0
2026-04-17T20:46:55.100373,94.5,60.28227615356445,400.0
2026-04-17T20:46:57.304095,94.6,60.332862854003906,400.0
2026-04-17T20:46:59.506922,94.5,60.332862854003906,400.0
2026-04-17T20:47:01.709313,94.5,60.38344955444336,400.0
2026-04-17T20:47:03.913720,93.7,60.484622955322266,400.0
2026-04-17T20:47:06.117158,94.5,60.38344955444336,400.0
2026-04-17T20:47:08.321970,94.2,60.38344955444336,400.0
2026-04-17T20:47:10.523954,93.8,60.43403625488281,400.0
2026-04-17T20:47:12.726114,94.3,60.38344955444336,400.0
