timestamp,temperature_C,cpu_percent,memory_percent,cpu_freq_MHz,cpu_voltage_V,throttled_flags_hex,npu_utilization_percent,hailo_temp_C,hailo_clock_MHz
2026-03-10T17:50:48.916616,50.7,50.0,27.0,2400.02048,0.8433,0x0,,42.627681732177734,400.0
2026-03-10T17:50:51.403613,50.7,44.4,28.2,2400.033792,0.8433,0x0,14.1,42.93119812011719,400.0
2026-03-10T17:50:53.626362,50.7,37.9,28.2,2400.02048,0.8433,0x0,27.4,43.18413162231445,400.0
2026-03-10T17:50:55.886724,51.8,51.9,28.3,2400.02048,0.8433,0x0,28.2,43.133544921875,400.0
