timestamp,temperature_C,cpu_percent,memory_percent,cpu_freq_MHz,cpu_voltage_V,throttled_flags_hex
2026-03-10T19:00:45.936358,48.5,100.0,21.0,2400.030464,0.8487,0x0
2026-03-10T19:00:46.958656,49.6,39.8,21.9,2400.023808,0.8487,0x0
2026-03-10T19:00:47.975745,47.95,29.7,22.3,2400.03712,0.8487,0x0
2026-03-10T19:00:48.993116,48.5,28.1,23.0,2400.023808,0.8487,0x0
2026-03-10T19:00:50.009995,51.8,50.4,23.7,2400.023808,0.8487,0x0
2026-03-10T19:00:51.053402,51.8,75.8,23.8,2400.017408,0.8487,0x0
2026-03-10T19:00:52.084252,52.35,78.9,23.8,2400.02048,0.8487,0x0
2026-03-10T19:00:53.108167,52.35,76.1,23.8,2400.027136,0.8487,0x0
2026-03-10T19:00:54.134502,54.0,79.2,23.7,2400.030464,0.8487,0x0
2026-03-10T19:00:55.158778,53.45,76.7,23.7,2400.027136,0.8487,0x0
2026-03-10T19:00:56.181397,53.45,73.1,23.7,2400.023808,0.8487,0x0
2026-03-10T19:00:57.203145,53.45,79.5,23.7,2400.03712,0.8487,0x0
2026-03-10T19:00:58.241715,54.0,82.2,23.7,2400.027136,0.8487,0x0
2026-03-10T19:00:59.270644,52.35,77.1,23.7,2400.033792,0.8487,0x0
2026-03-10T19:01:00.306909,53.45,77.2,23.7,2400.03712,0.8487,0x0
2026-03-10T19:01:01.335785,55.65,75.7,23.7,2400.027136,0.8487,0x0
2026-03-10T19:01:02.362091,54.0,76.5,23.5,2400.02048,0.8487,0x0
2026-03-10T19:01:03.381335,55.65,77.3,23.5,2400.030464,0.8487,0x0
2026-03-10T19:01:04.412595,55.1,77.9,23.5,2400.027136,0.8487,0x0
2026-03-10T19:01:05.442074,55.65,74.9,23.4,2400.033792,0.8487,0x0
2026-03-10T19:01:06.468328,54.0,76.2,23.5,2400.03712,0.8487,0x0
2026-03-10T19:01:07.498504,54.55,84.2,23.5,2400.027136,0.8487,0x0
2026-03-10T19:01:08.527580,54.0,76.2,23.5,2400.027136,0.8487,0x0
2026-03-10T19:01:09.555447,55.65,79.3,23.5,2400.027136,0.8487,0x0
2026-03-10T19:01:10.577002,54.0,75.5,23.4,2400.027136,0.8487,0x0
2026-03-10T19:01:11.601870,54.55,75.9,23.4,2400.033792,0.8487,0x0
2026-03-10T19:01:12.626654,55.1,76.6,23.4,2400.030464,0.8487,0x0
