timestamp,frame_count,fps
2026-02-03T22:23:14.586253,30,6.516
2026-02-03T22:23:18.265094,60,8.672
2026-02-03T22:23:22.363531,90,7.94
2026-02-03T22:23:26.545424,120,7.79
2026-02-03T22:23:32.467193,150,6.025
2026-02-03T22:23:36.612082,180,7.858
2026-02-03T22:23:40.827144,210,7.543
2026-02-03T22:23:45.484092,240,6.904
2026-02-03T22:23:49.807606,270,7.528
2026-02-03T22:23:54.475486,300,6.889
2026-02-03T22:23:58.686653,330,7.463
2026-02-03T22:24:03.334997,360,7.182
2026-02-03T22:24:07.808137,390,7.196
2026-02-03T22:24:12.263332,420,7.127
2026-02-03T22:24:16.670325,450,7.336
2026-02-03T22:24:20.906651,480,7.536
2026-02-03T22:24:25.228658,510,7.364
2026-02-03T22:24:29.708388,540,7.303
2026-02-03T22:24:34.688573,570,7.092
2026-02-03T22:24:39.189004,600,7.133
2026-02-03T22:24:43.377540,630,7.794
2026-02-03T22:24:47.816923,660,7.206
2026-02-03T22:24:52.230001,690,7.248
2026-02-03T22:24:56.614613,720,7.523
2026-02-03T22:25:00.843906,750,7.447
2026-02-03T22:25:05.106670,780,7.492
2026-02-03T22:25:09.289717,810,7.68
2026-02-03T22:25:13.599706,840,7.817
2026-02-03T22:25:18.141648,870,7.153
2026-02-03T22:25:22.278554,900,7.632
2026-02-03T22:25:26.869594,930,7.003
2026-02-03T22:25:31.308783,960,7.232
2026-02-03T22:25:35.765466,990,7.247
2026-02-03T22:25:39.692979,1020,8.097
2026-02-03T22:25:43.954412,1050,7.304
2026-02-03T22:25:48.337069,1080,7.463
2026-02-03T22:25:52.834159,1110,7.117
2026-02-03T22:25:57.317974,1140,7.132
2026-02-03T22:26:01.696285,1170,7.41
2026-02-03T22:26:05.929220,1200,7.566
2026-02-03T22:26:10.519520,1230,7.221
2026-02-03T22:26:15.058307,1260,7.346
2026-02-03T22:26:19.787236,1290,6.874
2026-02-03T22:26:24.137853,1320,7.4
2026-02-03T22:26:28.476674,1350,7.436
2026-02-03T22:26:32.587395,1380,7.591
2026-02-03T22:26:37.171603,1410,6.839
2026-02-03T22:26:41.726678,1440,7.029
2026-02-03T22:26:45.796902,1470,7.787
2026-02-03T22:26:49.995937,1500,7.507
2026-02-03T22:26:54.436512,1530,7.387
2026-02-03T22:26:58.622887,1560,7.483
2026-02-03T22:27:02.927586,1590,7.342
2026-02-03T22:27:07.770879,1620,6.926
2026-02-03T22:27:12.112475,1650,7.305
2026-02-03T22:27:16.498510,1680,7.174
2026-02-03T22:27:20.797506,1710,7.412
2026-02-03T22:27:25.204053,1740,7.342
2026-02-03T22:27:29.684337,1770,7.094
2026-02-03T22:27:34.439271,1800,6.874
2026-02-03T22:27:39.194465,1830,6.791
2026-02-03T22:27:43.499109,1860,7.343
2026-02-03T22:27:47.964183,1890,7.378
2026-02-03T22:27:52.144183,1920,7.611
2026-02-03T22:27:56.294545,1950,7.618
2026-02-03T22:28:01.930804,1980,5.935
2026-02-03T22:28:06.247081,2010,7.367
2026-02-03T22:28:10.743493,2040,6.975
2026-02-03T22:28:15.739957,2070,6.771
2026-02-03T22:28:20.053051,2100,7.399
2026-02-03T22:28:24.539980,2130,7.161
2026-02-03T22:28:29.120074,2160,7.192
2026-02-03T22:28:33.307451,2190,7.546
2026-02-03T22:28:38.013880,2220,6.84
2026-02-03T22:28:42.497693,2250,7.156
2026-02-03T22:28:46.753608,2280,7.395
2026-02-03T22:28:51.500490,2310,6.887
2026-02-03T22:28:55.869591,2340,7.32
2026-02-03T22:29:00.233634,2370,7.313
2026-02-03T22:29:05.236771,2400,6.434
2026-02-03T22:29:10.087069,2430,6.715
2026-02-03T22:29:15.041182,2460,6.605
2026-02-03T22:29:19.927650,2490,6.636
2026-02-03T22:29:24.513326,2520,7.129
2026-02-03T22:29:29.262143,2550,6.831
