timestamp,temperature_C,cpu_percent,memory_percent,cpu_freq_MHz,cpu_voltage_V,throttled_flags_hex
2026-03-10T18:41:29.470399,50.7,100.0,18.4,2400.023808,0.8487,0x0
2026-03-10T18:41:30.488648,50.7,33.3,19.2,2400.027136,0.8487,0x0
2026-03-10T18:41:31.504608,50.7,25.2,19.5,2400.02048,0.8487,0x0
2026-03-10T18:41:32.522039,51.8,18.3,19.9,2400.033792,0.8487,0x0
2026-03-10T18:41:33.538636,48.5,16.7,20.3,2400.023808,0.8487,0x0
2026-03-10T18:41:34.557951,50.7,22.2,20.6,2400.030464,0.8487,0x0
2026-03-10T18:41:35.574547,51.25,9.6,21.1,2400.027136,0.8487,0x0
2026-03-10T18:41:36.602045,51.25,56.4,21.4,2400.023808,0.8487,0x0
2026-03-10T18:41:37.621033,52.35,51.7,21.4,2400.027136,0.8487,0x0
2026-03-10T18:41:38.640033,52.35,51.6,21.2,2400.030464,0.8487,0x0
2026-03-10T18:41:39.661907,54.0,50.7,21.1,2400.030464,0.8487,0x0
2026-03-10T18:41:40.679625,53.45,51.2,21.1,2400.023808,0.8487,0x0
2026-03-10T18:41:41.698373,55.65,52.7,21.1,2400.02048,0.8487,0x0
2026-03-10T18:41:42.716339,52.35,51.1,21.2,2400.027136,0.8487,0x0
2026-03-10T18:41:43.745870,54.0,62.9,21.3,2400.030464,0.8487,0x0
2026-03-10T18:41:44.766075,55.1,79.6,22.4,2400.02048,0.8487,0x0
2026-03-10T18:41:45.789310,55.1,84.4,22.5,2400.02048,0.8487,0x0
2026-03-10T18:41:46.819450,56.2,80.0,22.2,2400.030464,0.8487,0x0
2026-03-10T18:41:47.847611,54.55,59.5,21.9,2400.023808,0.8487,0x0
2026-03-10T18:41:48.867737,55.65,60.6,21.8,2400.017408,0.8487,0x0
2026-03-10T18:41:49.889547,55.1,69.4,21.9,2400.023808,0.8487,0x0
2026-03-10T18:41:50.909561,54.55,61.6,21.9,2400.023808,0.8487,0x0
2026-03-10T18:41:51.934073,55.1,55.5,22.1,2400.030464,0.8487,0x0
2026-03-10T18:41:52.952739,55.65,53.5,21.8,2400.023808,0.8487,0x0
2026-03-10T18:41:53.970747,54.55,58.3,21.6,2400.02048,0.8487,0x0
2026-03-10T18:41:54.993101,55.1,65.6,21.6,2400.03712,0.8487,0x0
2026-03-10T18:41:56.014723,55.65,66.2,21.2,2400.027136,0.8487,0x0
2026-03-10T18:41:57.033118,55.65,77.2,21.2,2400.03712,0.8487,0x0
2026-03-10T18:41:58.051335,55.65,64.8,21.2,2400.027136,0.8487,0x0
2026-03-10T18:41:59.069978,55.65,54.5,21.1,2400.030464,0.8487,0x0
2026-03-10T18:42:00.089210,54.55,57.1,21.0,2400.023808,0.8487,0x0
2026-03-10T18:42:01.116060,55.1,51.6,21.1,2400.030464,0.8487,0x0
2026-03-10T18:42:02.135599,54.55,55.8,21.0,2400.027136,0.8487,0x0
2026-03-10T18:42:03.153846,55.65,73.6,21.1,2400.027136,0.8487,0x0
2026-03-10T18:42:04.279537,56.2,62.0,21.2,2400.03712,0.8487,0x0
2026-03-10T18:42:05.301041,56.2,75.2,21.3,2400.030464,0.8487,0x0
2026-03-10T18:42:06.326136,56.75,58.3,21.4,2400.023808,0.8487,0x0
2026-03-10T18:42:07.347787,55.65,59.6,21.2,2400.033792,0.8487,0x0
2026-03-10T18:42:08.366060,56.2,61.2,21.3,2400.03712,0.8487,0x0
2026-03-10T18:42:09.391278,56.75,55.8,21.6,2400.02048,0.8487,0x0
2026-03-10T18:42:10.412313,55.65,59.4,21.3,2400.02048,0.8487,0x0
2026-03-10T18:42:11.435836,55.1,60.2,21.4,2400.023808,0.8487,0x0
2026-03-10T18:42:12.457197,55.65,65.5,21.5,2400.027136,0.8487,0x0
2026-03-10T18:42:13.484453,55.65,73.3,21.7,2400.027136,0.8487,0x0
2026-03-10T18:42:14.503524,56.75,60.8,21.4,2400.023808,0.8487,0x0
2026-03-10T18:42:15.525918,57.3,60.4,21.4,2400.017408,0.8487,0x0
2026-03-10T18:42:16.547841,57.3,76.4,21.4,2400.023808,0.8487,0x0
2026-03-10T18:42:17.565847,56.75,67.3,21.4,2400.030464,0.8487,0x0
2026-03-10T18:42:18.586011,55.65,61.0,21.5,2400.033792,0.8487,0x0
