frame,fps
533,55.09
534,30.14
535,32.81
536,31.19
537,29.70
538,40.69
539,41.30
540,30.70
541,30.34
542,35.88
543,30.91
544,40.48
545,41.64
546,40.57
547,39.43
548,29.86
549,26.76
550,37.80
551,46.94
552,33.76
553,33.44
554,39.82
555,38.36
556,32.90
557,29.94
558,37.67
559,38.49
560,31.15
561,35.61
562,36.00
563,35.96
564,30.83
565,36.88
566,36.92
567,32.68
568,31.05
569,35.52
570,38.13
571,32.35
572,32.53
573,38.52
574,35.16
575,33.11
576,32.44
577,34.37
578,38.25
579,33.20
580,30.59
581,39.95
582,35.46
583,32.84
584,30.21
585,38.76
586,37.33
587,31.30
588,29.06
589,39.52
590,36.87
591,33.41
592,31.59
593,40.01
594,35.88
595,32.84
596,32.85
597,39.29
598,33.86
599,32.42
600,30.26
601,44.18
602,33.57
603,32.16
604,32.38
605,40.66
606,32.93
607,31.45
608,35.09
609,39.01
610,33.25
611,31.98
612,34.40
613,38.68
614,32.13
615,31.01
616,32.91
617,43.35
618,32.84
619,31.33
620,36.40
621,38.50
622,33.41
623,31.54
624,34.93
625,37.45
626,30.51
627,32.17
628,39.30
629,37.65
630,32.60
631,32.13
632,37.54
633,35.50
634,31.48
635,33.89
636,33.83
637,40.21
638,32.12
639,34.15
640,36.44
641,34.12
642,32.85
643,32.19
644,38.73
645,35.13
646,31.62
647,32.71
648,38.01
649,35.59
650,31.15
651,34.00
652,38.75
653,34.78
654,32.08
655,35.28
656,35.75
657,34.34
658,32.32
659,35.53
660,33.79
661,34.99
662,32.00
663,36.37
664,36.39
665,34.11
666,31.83
667,37.43
668,34.90
669,32.60
670,32.02
671,35.78
672,37.62
673,33.21
674,31.19
675,36.68
676,37.37
677,32.67
678,31.35
679,37.57
680,36.59
681,33.49
682,29.68
683,43.94
684,33.56
685,32.88
686,31.26
687,39.09
688,34.57
689,32.49
690,34.49
691,33.86
692,35.85
693,33.52
694,35.07
695,36.71
696,33.86
697,31.56
698,34.14
699,39.07
700,33.28
701,32.16
702,34.94
703,37.23
704,33.65
705,31.42
706,37.52
707,35.77
708,33.59
709,32.26
710,33.94
711,39.13
712,32.00
713,31.89
714,35.26
715,33.00
716,38.24
717,32.55
718,35.61
719,37.68
720,32.36
721,32.25
722,35.08
723,38.28
724,31.99
725,32.45
726,38.88
727,35.06
728,32.37
729,32.33
730,37.19
731,35.65
732,32.00
733,32.30
734,40.24
735,34.72
736,30.58
737,35.60
738,36.60
739,34.50
740,32.67
741,35.57
742,35.55
743,35.44
744,30.46
745,29.38
746,40.45
747,35.68
748,25.79
749,41.13
750,38.50
751,34.53
752,34.44
753,27.34
754,39.29
755,45.84
756,32.22
757,37.94
758,33.94
759,33.90
760,30.66
761,40.98
762,34.81
763,32.91
764,31.30
765,38.90
766,35.28
767,33.10
768,30.29
769,38.17
770,36.90
771,32.68
772,31.71
773,38.38
774,35.74
775,32.52
776,33.49
777,36.01
778,34.26
779,33.83
780,33.06
781,35.57
782,35.91
783,31.95
784,33.73
785,39.54
786,33.81
787,31.78
788,35.36
789,36.71
790,31.76
791,32.34
792,36.81
793,36.07
794,32.34
795,32.59
796,35.97
797,37.37
798,29.81
799,33.46
800,42.31
801,27.20
802,32.72
803,36.45
804,40.16
805,30.59
806,35.65
807,31.49
808,41.65
809,30.83
810,34.68
811,25.81
812,49.30
813,47.54
814,32.23
815,31.97
816,39.81
817,35.29
818,31.85
819,35.72
820,35.24
821,33.44
822,32.84
823,29.71
824,44.00
825,35.50
826,32.39
827,33.39
828,35.47
829,35.79
830,32.23
831,35.38
832,35.06
833,35.32
834,30.04
835,38.48
836,35.06
837,34.48
838,32.00
839,35.22
840,33.95
841,35.92
842,31.02
843,38.27
844,36.76
845,33.34
846,32.23
847,36.49
848,35.49
849,32.40
850,32.61
851,36.43
852,36.83
853,33.51
854,31.32
855,38.98
856,34.45
857,32.75
858,31.28
859,35.72
860,38.83
861,33.34
862,31.52
863,38.60
864,33.89
865,32.68
866,33.00
867,39.62
868,34.24
869,31.47
870,32.65
871,40.34
872,34.14
873,31.44
874,34.91
875,37.98
876,33.52
877,33.43
878,33.77
879,37.41
880,33.55
881,31.59
882,36.51
883,36.16
884,21.79
885,45.64
886,38.78
887,37.20
888,31.70
889,32.68
890,37.02
891,34.76
892,26.54
893,46.96
894,40.40
895,35.36
896,34.61
897,31.78
898,36.34
899,36.68
900,33.12
901,30.95
902,39.12
903,35.27
904,32.00
905,31.25
906,38.88
907,37.44
908,31.82
909,31.06
910,39.27
911,36.14
912,32.12
913,33.83
914,36.11
915,36.60
916,31.25
917,31.72
918,37.69
919,37.81
920,31.13
921,33.90
922,37.56
923,35.12
924,31.85
925,35.00
926,37.22
927,33.93
928,31.49
929,36.21
930,35.34
931,32.43
932,33.21
933,35.45
934,37.69
935,33.07
936,31.41
937,38.18
938,34.57
939,33.39
940,30.15
941,40.79
942,35.89
943,31.90
944,30.87
945,41.16
946,35.13
947,30.65
948,31.53
949,42.78
950,35.45
951,30.90
952,30.79
953,41.21
954,36.43
955,30.78
956,32.65
957,37.62
958,35.02
959,32.90
960,35.76
961,38.10
962,33.46
963,32.11
964,32.67
965,39.87
966,31.44
967,33.35
968,36.26
969,37.62
970,30.93
971,31.18
972,33.64
973,42.27
974,33.17
975,30.32
976,36.86
977,39.13
978,32.38
979,32.17
980,36.22
981,36.73
982,31.85
983,32.62
984,34.46
985,39.36
986,31.94
987,32.63
988,39.29
989,36.92
990,32.41
991,31.34
992,38.05
993,35.76
994,31.69
995,32.37
996,35.99
997,38.42
998,30.05
999,34.50
1000,37.42
1001,34.30
1002,32.07
1003,29.06
1004,37.46
1005,42.98
1006,29.48
1007,35.61
1008,29.83
1009,37.58
1010,33.12
1011,30.88
1012,35.74
1013,42.72
1014,33.08
1015,36.54
1016,35.79
1017,18.38
1018,72.80
1019,47.01
1020,42.20
1021,32.32
1022,32.01
1023,36.82
1024,35.31
1025,35.37
1026,30.89
1027,36.77
1028,36.66
1029,33.48
1030,29.99
1031,39.77
1032,35.95
1033,32.91
1034,31.83
1035,36.65
1036,36.77
1037,32.84
1038,30.20
1039,37.27
1040,37.58
1041,33.02
1042,30.74
1043,38.38
1044,36.68
1045,32.70
1046,31.09
1047,38.47
1048,36.78
1049,32.42
1050,32.37
1051,40.26
1052,33.62
1053,32.09
1054,31.59
1055,42.53
1056,32.51
1057,32.89
1058,34.30
1059,37.80
1060,33.19
1061,33.08
1062,34.85
1063,37.11
1064,32.42
1065,31.95
1066,34.91
1067,39.27
1068,32.38
1069,32.37
1070,35.17
1071,38.41
1072,32.21
1073,32.38
1074,37.23
1075,35.21
1076,32.92
1077,32.69
1078,34.91
1079,38.09
1080,32.44
1081,32.93
1082,35.06
1083,36.76
1084,32.68
1085,33.29
1086,37.59
1087,35.17
1088,32.47
1089,32.97
1090,36.90
1091,34.40
1092,33.12
1093,32.19
1094,36.65
1095,36.50
1096,31.53
1097,33.56
1098,37.45
1099,34.69
1100,32.53
1101,34.69
1102,37.25
1103,33.65
1104,32.39
1105,34.61
1106,38.01
1107,33.72
1108,31.93
1109,38.01
1110,34.02
1111,34.02
1112,31.64
1113,37.19
1114,36.03
1115,33.65
1116,31.01
1117,38.35
1118,35.52
1119,32.52
1120,30.33
1121,41.81
1122,34.52
1123,33.70
1124,31.26
1125,38.15
1126,34.77
1127,32.90
1128,31.09
1129,36.53
1130,38.40
1131,32.43
1132,32.07
1133,39.55
1134,34.81
1135,31.57
1136,33.97
1137,37.81
1138,33.55
1139,33.22
1140,32.94
1141,39.08
1142,32.48
1143,31.61
1144,31.60
1145,44.44
1146,33.72
1147,32.03
1148,35.36
1149,37.20
1150,34.04
1151,31.09
1152,33.85
1153,39.72
1154,33.15
1155,32.58
1156,35.42
1157,36.51
1158,31.07
1159,32.17
1160,37.46
1161,36.08
1162,32.74
1163,31.60
1164,35.21
1165,38.48
1166,32.41
1167,32.89
1168,38.78
1169,36.06
1170,32.68
1171,30.94
1172,38.98
1173,36.46
1174,32.47
