timestamp,temperature_C,cpu_percent,memory_percent,cpu_freq_MHz,cpu_voltage_V,throttled_flags_hex
2026-03-05T23:55:55.531728,46.85,50.0,26.2,2400.027136,0.851,0x0
2026-03-05T23:55:56.548933,49.05,31.3,26.5,2400.02048,0.851,0x0
2026-03-05T23:55:57.565431,49.6,26.4,27.1,2400.030464,0.851,0x0
2026-03-05T23:55:58.581367,49.6,28.4,27.6,2400.033792,0.851,0x0
2026-03-05T23:55:59.597479,49.05,19.4,28.0,2400.017408,0.851,0x0
2026-03-05T23:56:00.612902,49.05,35.9,28.2,2400.030464,0.851,0x0
2026-03-05T23:56:01.631719,52.9,63.2,29.1,2400.023808,0.851,0x0
2026-03-05T23:56:02.666228,51.25,79.0,29.2,2400.02048,0.851,0x0
2026-03-05T23:56:03.692530,54.0,77.6,29.0,2400.02048,0.851,0x0
2026-03-05T23:56:04.713727,53.45,76.5,29.1,2400.023808,0.851,0x0
2026-03-05T23:56:05.743064,54.55,78.7,29.0,2400.030464,0.851,0x0
2026-03-05T23:56:06.762761,56.75,78.6,29.5,2400.030464,0.851,0x0
2026-03-05T23:56:07.782464,54.55,77.6,29.9,2400.030464,0.851,0x0
2026-03-05T23:56:08.813048,54.55,78.9,29.8,2400.02048,0.851,0x0
2026-03-05T23:56:09.836844,54.55,79.3,29.6,2400.033792,0.851,0x0
2026-03-05T23:56:10.862957,54.55,78.4,29.6,2400.02048,0.851,0x0
2026-03-05T23:56:11.897397,54.55,78.3,29.4,2400.023808,0.851,0x0
2026-03-05T23:56:12.915499,55.65,78.2,29.4,2400.030464,0.851,0x0
2026-03-05T23:56:13.937456,55.1,77.3,29.6,2400.030464,0.851,0x0
2026-03-05T23:56:14.955614,55.65,78.2,29.6,2400.023808,0.851,0x0
2026-03-05T23:56:15.976805,56.75,79.2,29.4,2400.033792,0.851,0x0
2026-03-05T23:56:17.000173,55.1,79.3,29.3,2400.027136,0.851,0x0
2026-03-05T23:56:18.037495,57.3,79.9,29.2,2400.02048,0.851,0x0
2026-03-05T23:56:19.062718,56.2,80.6,29.2,2400.02048,0.851,0x0
2026-03-05T23:56:20.081035,55.65,78.6,29.3,2400.027136,0.851,0x0
2026-03-05T23:56:21.108470,56.2,79.3,29.2,2400.030464,0.851,0x0
2026-03-05T23:56:22.128106,56.2,78.5,29.1,2400.03712,0.851,0x0
2026-03-05T23:56:23.155109,56.2,77.8,29.7,2400.030464,0.851,0x0
2026-03-05T23:56:24.175745,57.85,77.8,29.8,2400.027136,0.851,0x0
2026-03-05T23:56:25.194458,57.85,77.1,29.7,2400.03712,0.851,0x0
2026-03-05T23:56:26.214518,55.65,77.7,29.5,2400.023808,0.851,0x0
2026-03-05T23:56:27.237485,56.75,79.9,29.4,2400.023808,0.851,0x0
2026-03-05T23:56:28.261664,57.85,79.0,29.3,2400.033792,0.851,0x0
2026-03-05T23:56:29.286747,57.85,78.9,29.3,2400.023808,0.851,0x0
2026-03-05T23:56:30.313517,56.2,80.0,29.4,2400.033792,0.851,0x0
2026-03-05T23:56:31.336091,57.3,77.9,29.3,2400.017408,0.851,0x0
2026-03-05T23:56:32.363836,58.4,78.7,29.3,2400.023808,0.851,0x0
2026-03-05T23:56:33.386898,57.85,79.3,29.4,2400.017408,0.851,0x0
2026-03-05T23:56:34.410492,56.75,78.8,29.4,2400.027136,0.851,0x0
2026-03-05T23:56:35.486771,57.3,79.7,29.4,2400.033792,0.851,0x0
2026-03-05T23:56:36.510380,57.3,78.2,29.8,2400.030464,0.851,0x0
2026-03-05T23:56:37.539839,57.85,79.6,29.9,2400.030464,0.851,0x0
2026-03-05T23:56:38.565146,57.3,79.2,29.8,2400.030464,0.851,0x0
2026-03-05T23:56:39.584479,57.3,77.9,29.7,2400.023808,0.851,0x0
2026-03-05T23:56:40.608549,57.3,77.7,29.7,2400.030464,0.851,0x0
2026-03-05T23:56:41.629018,57.85,79.9,29.6,2400.027136,0.851,0x0
2026-03-05T23:56:42.653772,57.85,78.2,29.6,2400.017408,0.851,0x0
2026-03-05T23:56:43.682266,60.05,79.5,29.6,2400.02048,0.851,0x0
2026-03-05T23:56:44.706863,57.85,79.0,29.6,2400.033792,0.851,0x0
2026-03-05T23:56:45.728311,57.85,79.3,29.5,2400.030464,0.851,0x0
2026-03-05T23:56:46.749807,58.95,79.4,29.6,2400.027136,0.851,0x0
2026-03-05T23:56:47.775595,59.5,81.7,30.1,2400.033792,0.851,0x0
2026-03-05T23:56:48.813900,57.85,81.8,30.0,2400.03712,0.851,0x0
2026-03-05T23:56:49.836039,58.4,79.9,29.9,2400.02048,0.851,0x0
2026-03-05T23:56:50.866422,58.4,79.3,30.2,2400.02048,0.851,0x0
2026-03-05T23:56:51.891049,58.95,78.8,30.5,2400.027136,0.851,0x0
2026-03-05T23:56:52.917053,60.05,78.8,30.3,2400.033792,0.851,0x0
2026-03-05T23:56:53.940897,58.4,79.0,30.2,2400.033792,0.851,0x0
2026-03-05T23:56:54.959891,57.85,78.1,30.1,2400.023808,0.851,0x0
2026-03-05T23:56:55.987605,58.4,79.4,30.0,2400.023808,0.851,0x0
2026-03-05T23:56:57.010005,60.05,79.4,30.1,2400.023808,0.851,0x0
2026-03-05T23:56:58.032575,58.95,77.9,30.1,2400.023808,0.851,0x0
2026-03-05T23:56:59.056524,57.85,78.6,30.1,2400.030464,0.851,0x0
2026-03-05T23:57:00.076285,58.95,79.1,29.9,2400.033792,0.851,0x0
2026-03-05T23:57:01.100354,60.6,78.4,30.0,2400.023808,0.851,0x0
2026-03-05T23:57:02.125401,59.5,80.0,29.8,2400.023808,0.851,0x0
2026-03-05T23:57:03.149372,57.85,77.8,29.9,2400.033792,0.851,0x0
2026-03-05T23:57:04.180368,58.95,79.5,30.2,2400.033792,0.851,0x0
2026-03-05T23:57:05.198709,59.5,80.0,30.5,2400.030464,0.851,0x0
2026-03-05T23:57:06.219709,60.6,79.6,30.5,2400.023808,0.851,0x0
2026-03-05T23:57:07.249363,60.05,79.8,30.3,2400.033792,0.851,0x0
2026-03-05T23:57:08.275345,59.5,79.5,30.2,2400.023808,0.851,0x0
2026-03-05T23:57:09.296517,59.5,78.5,30.0,2400.033792,0.851,0x0
2026-03-05T23:57:10.321281,60.05,79.3,30.0,2400.023808,0.851,0x0
2026-03-05T23:57:11.345301,60.6,79.0,30.0,2400.023808,0.851,0x0
2026-03-05T23:57:12.379160,60.05,78.8,29.9,2400.030464,0.851,0x0
2026-03-05T23:57:13.398251,61.15,80.0,30.0,2400.02048,0.851,0x0
2026-03-05T23:57:14.420967,59.5,78.8,30.0,2400.033792,0.851,0x0
2026-03-05T23:57:15.452314,58.95,79.1,30.0,2400.02048,0.851,0x0
2026-03-05T23:57:16.476854,58.95,79.3,29.8,2400.030464,0.851,0x0
2026-03-05T23:57:17.496123,60.6,78.4,29.7,2400.023808,0.851,0x0
2026-03-05T23:57:18.524731,60.05,80.5,30.0,2400.017408,0.851,0x0
2026-03-05T23:57:19.549266,60.6,77.5,30.2,2400.033792,0.851,0x0
2026-03-05T23:57:20.567698,61.15,77.0,30.2,2400.02048,0.851,0x0
2026-03-05T23:57:21.592964,61.15,77.7,30.0,2400.033792,0.851,0x0
2026-03-05T23:57:22.615685,61.15,79.0,29.8,2400.023808,0.851,0x0
2026-03-05T23:57:23.635763,59.5,77.8,29.7,2400.02048,0.851,0x0
2026-03-05T23:57:24.659645,60.05,79.6,29.6,2400.033792,0.851,0x0
2026-03-05T23:57:25.682002,60.6,79.5,29.7,2400.033792,0.851,0x0
2026-03-05T23:57:26.718894,59.5,78.5,29.6,2400.023808,0.851,0x0
2026-03-05T23:57:27.743366,60.6,79.5,29.5,2400.023808,0.851,0x0
2026-03-05T23:57:28.767702,61.15,78.5,29.6,2400.023808,0.851,0x0
2026-03-05T23:57:29.807785,60.05,79.7,30.0,2400.033792,0.851,0x0
2026-03-05T23:57:30.831217,60.05,79.6,29.7,2400.027136,0.851,0x0
2026-03-05T23:57:31.859367,59.5,77.2,29.6,2400.023808,0.851,0x0
2026-03-05T23:57:32.892464,61.7,79.5,29.7,2400.027136,0.851,0x0
2026-03-05T23:57:33.910160,60.6,78.5,29.9,2400.023808,0.851,0x0
2026-03-05T23:57:34.935991,59.5,78.1,30.0,2400.02048,0.851,0x0
2026-03-05T23:57:35.966187,60.05,79.4,29.5,2400.02048,0.851,0x0
2026-03-05T23:57:36.988624,59.5,79.2,29.6,2400.023808,0.851,0x0
2026-03-05T23:57:38.016204,60.05,79.0,29.7,2400.033792,0.851,0x0
2026-03-05T23:57:39.045049,60.6,79.6,30.0,2400.033792,0.851,0x0
2026-03-05T23:57:40.065834,60.05,79.9,29.8,2400.02048,0.851,0x0
2026-03-05T23:57:41.088306,58.95,78.0,29.9,2400.027136,0.851,0x0
2026-03-05T23:57:42.110208,60.05,79.1,29.6,2400.033792,0.851,0x0
2026-03-05T23:57:43.131571,58.95,80.0,29.5,2400.033792,0.851,0x0
2026-03-05T23:57:44.158474,58.95,78.1,29.5,2400.027136,0.851,0x0
2026-03-05T23:57:45.179729,60.05,80.1,29.6,2400.030464,0.851,0x0
2026-03-05T23:57:46.200508,60.05,78.7,29.5,2400.033792,0.851,0x0
2026-03-05T23:57:47.228030,60.05,79.3,29.5,2400.030464,0.851,0x0
2026-03-05T23:57:48.248553,59.5,79.5,29.6,2400.023808,0.851,0x0
2026-03-05T23:57:49.271317,60.05,78.0,29.5,2400.023808,0.851,0x0
2026-03-05T23:57:50.292907,61.15,79.2,29.5,2400.030464,0.851,0x0
2026-03-05T23:57:51.314499,60.6,79.6,29.7,2400.023808,0.851,0x0
2026-03-05T23:57:52.339038,59.5,78.7,29.6,2400.030464,0.851,0x0
2026-03-05T23:57:53.363647,58.4,80.6,29.7,2400.027136,0.851,0x0
2026-03-05T23:57:54.386425,61.15,77.5,29.7,2400.017408,0.851,0x0
2026-03-05T23:57:55.411826,58.4,79.5,29.8,2400.02048,0.851,0x0
2026-03-05T23:57:56.532175,59.5,79.0,29.9,2400.033792,0.851,0x0
2026-03-05T23:57:57.555630,59.5,80.1,29.8,2400.027136,0.851,0x0
2026-03-05T23:57:58.579839,60.6,78.8,29.8,2400.02048,0.851,0x0
2026-03-05T23:57:59.603082,60.05,79.8,29.8,2400.027136,0.851,0x0
2026-03-05T23:58:00.625513,60.6,80.8,29.9,2400.03712,0.851,0x0
2026-03-05T23:58:01.647732,60.6,78.8,29.9,2400.023808,0.851,0x0
2026-03-05T23:58:02.678731,60.05,79.7,29.9,2400.023808,0.851,0x0
2026-03-05T23:58:03.701065,59.5,79.2,30.0,2400.023808,0.851,0x0
2026-03-05T23:58:04.734089,61.15,79.7,30.1,2400.023808,0.851,0x0
2026-03-05T23:58:05.756622,60.6,79.5,30.0,2400.027136,0.851,0x0
2026-03-05T23:58:06.776025,61.15,78.1,29.9,2400.023808,0.851,0x0
2026-03-05T23:58:07.803487,60.05,79.5,30.0,2400.027136,0.851,0x0
2026-03-05T23:58:08.822828,60.6,79.2,30.1,2400.033792,0.851,0x0
2026-03-05T23:58:09.855008,60.6,79.0,30.0,2400.02048,0.851,0x0
2026-03-05T23:58:10.875922,61.15,80.3,30.0,2400.033792,0.851,0x0
2026-03-05T23:58:11.903468,59.5,76.4,30.1,2400.03712,0.851,0x0
2026-03-05T23:58:12.931454,60.6,78.3,30.5,2400.030464,0.851,0x0
2026-03-05T23:58:13.950783,61.15,78.3,30.5,2400.030464,0.851,0x0
2026-03-05T23:58:14.973990,61.15,77.3,30.3,2400.027136,0.851,0x0
2026-03-05T23:58:16.002887,60.05,77.3,30.0,2400.027136,0.851,0x0
2026-03-05T23:58:17.033861,60.05,77.5,29.8,2400.03712,0.851,0x0
2026-03-05T23:58:18.058738,60.05,78.1,29.7,2400.030464,0.851,0x0
2026-03-05T23:58:19.080234,61.7,79.0,29.8,2400.02048,0.851,0x0
2026-03-05T23:58:20.108622,60.05,79.8,29.7,2400.030464,0.851,0x0
2026-03-05T23:58:21.136639,60.6,80.0,29.7,2400.027136,0.851,0x0
2026-03-05T23:58:22.165501,60.05,78.6,29.6,2400.027136,0.851,0x0
