timestamp,frame_count,fps
2026-03-04T18:37:12.395099,30,2.802
2026-03-04T18:37:22.098690,60,3.111
2026-03-04T18:37:31.901177,90,3.108
2026-03-04T18:37:42.476432,120,2.914
2026-03-04T18:37:54.950412,150,2.511
2026-03-04T18:38:06.602915,180,2.659
2026-03-04T18:38:16.910691,210,2.942
2026-03-04T18:38:27.858015,240,2.828
2026-03-04T18:38:37.968672,270,2.991
2026-03-04T18:38:48.335641,300,2.994
2026-03-04T18:38:58.461511,330,2.987
2026-03-04T18:39:13.527570,360,2.313
2026-03-04T18:39:27.659923,390,2.364
2026-03-04T18:39:38.697311,420,2.821
2026-03-04T18:39:50.336470,450,2.682
2026-03-04T18:40:01.949641,480,2.67
