timestamp,frame_count,fps
2026-02-03T20:21:10.627042,30,2.41
2026-02-03T20:21:22.893814,60,2.512
2026-02-03T20:21:34.647890,90,2.575
2026-02-03T20:21:46.489045,120,2.563
2026-02-03T20:21:58.409677,150,2.539
2026-02-03T20:22:10.103350,180,2.58
2026-02-03T20:22:22.023370,210,2.54
2026-02-03T20:22:33.914582,240,2.548
2026-02-03T20:22:45.683647,270,2.572
2026-02-03T20:22:57.658587,300,2.535
2026-02-03T20:23:09.606444,330,2.528
2026-02-03T20:23:21.575900,360,2.534
2026-02-03T20:23:33.511017,390,2.545
2026-02-03T20:23:45.382928,420,2.546
2026-02-03T20:23:57.603822,450,2.483
2026-02-03T20:24:09.606714,480,2.521
2026-02-03T20:24:21.537588,510,2.534
2026-02-03T20:24:33.499208,540,2.533
2026-02-03T20:24:57.056169,600,2.595
2026-02-03T20:25:09.086930,630,2.519
2026-02-03T20:25:20.891997,660,2.559
2026-02-03T20:25:32.875425,690,2.527
2026-02-03T20:25:44.751418,720,2.558
2026-02-03T20:25:56.394366,750,2.594
2026-02-03T20:26:08.229855,780,2.556
2026-02-03T20:26:20.086629,810,2.555
2026-02-03T20:26:31.920376,840,2.556
2026-02-03T20:26:43.684294,870,2.574
2026-02-03T20:26:55.385902,900,2.595
2026-02-03T20:27:07.154604,930,2.566
2026-02-03T20:27:19.206345,960,2.521
2026-02-03T20:27:31.220918,990,2.527
2026-02-03T20:27:42.958522,1020,2.583
2026-02-03T20:27:54.879919,1050,2.539
2026-02-03T20:28:06.764337,1080,2.555
2026-02-03T20:28:18.527986,1110,2.572
2026-02-03T20:28:30.399776,1140,2.554
2026-02-03T20:28:42.205863,1170,2.565
2026-02-03T20:28:53.805685,1200,2.601
2026-02-03T20:29:05.709195,1230,2.545
2026-02-03T20:29:17.408427,1260,2.591
2026-02-03T20:29:29.142930,1290,2.573
2026-02-03T20:29:40.965289,1320,2.569
2026-02-03T20:29:52.731254,1350,2.578
2026-02-03T20:30:04.508991,1380,2.567
2026-02-03T20:30:16.298220,1410,2.576
2026-02-03T20:30:28.040663,1440,2.584
2026-02-03T20:30:39.662677,1470,2.597
2026-02-03T20:30:51.489709,1500,2.555
2026-02-03T20:31:03.343195,1530,2.559
2026-02-03T20:31:14.904170,1560,2.618
2026-02-03T20:31:26.804284,1590,2.556
2026-02-03T20:31:38.681787,1620,2.543
2026-02-03T20:31:50.427181,1650,2.576
2026-02-03T20:32:02.357937,1680,2.538
2026-02-03T20:32:14.214475,1710,2.554
2026-02-03T20:32:25.726186,1740,2.624
2026-02-03T20:32:37.333076,1770,2.611
2026-02-03T20:32:49.135082,1800,2.573
2026-02-03T20:33:00.672720,1830,2.615
2026-02-03T20:33:12.273671,1860,2.612
2026-02-03T20:33:23.915114,1890,2.606
2026-02-03T20:33:35.567852,1920,2.59
2026-02-03T20:33:47.148716,1950,2.612
2026-02-03T20:33:58.930892,1980,2.575
2026-02-03T20:34:10.628303,2010,2.584
2026-02-03T20:34:22.269434,2040,2.606
2026-02-03T20:34:34.040983,2070,2.582
