timestamp,temperature_C,cpu_percent,memory_percent,cpu_freq_MHz,cpu_voltage_V,throttled_flags_hex,num_threads,running_threads
2026-03-29T10:46:55.942980,43.55,66.7,21.1,2400.023808,0.852,0x0,1,1
2026-03-29T10:46:56.959940,44.1,39.9,21.6,2400.02048,0.852,0x0,4,1
2026-03-29T10:46:57.977961,45.2,50.5,22.0,2400.033792,0.852,0x0,12,1
2026-03-29T10:46:59.002442,45.2,34.6,22.6,2400.023808,0.852,0x0,25,0
2026-03-29T10:47:00.021299,46.85,46.6,22.7,2400.030464,0.852,0x0,23,1
2026-03-29T10:47:01.041163,46.3,68.2,22.7,2400.03712,0.852,0x0,23,3
2026-03-29T10:47:02.061184,46.85,71.9,22.7,2400.023808,0.852,0x0,26,2
2026-03-29T10:47:03.087878,45.75,70.4,22.7,2400.030464,0.852,0x0,23,2
2026-03-29T10:47:04.115030,49.05,72.2,22.9,2400.02048,0.852,0x0,23,3
2026-03-29T10:47:05.136912,48.5,70.7,23.0,2400.027136,0.852,0x0,26,3
2026-03-29T10:47:06.158545,48.5,68.8,22.8,2400.027136,0.852,0x0,25,
2026-03-29T10:47:07.181494,47.95,73.7,23.0,2400.027136,0.852,0x0,23,1
2026-03-29T10:47:08.207628,49.05,69.0,23.4,2400.033792,0.852,0x0,26,3
2026-03-29T10:47:09.231562,49.6,70.2,23.1,2400.02048,0.852,0x0,23,2
2026-03-29T10:47:10.255983,49.05,71.5,23.0,2400.03712,0.852,0x0,26,2
2026-03-29T10:47:11.279372,48.5,75.0,22.7,2400.030464,0.852,0x0,26,
2026-03-29T10:47:12.305846,49.05,71.9,22.7,2400.033792,0.852,0x0,24,4
2026-03-29T10:47:13.328310,49.05,70.6,22.6,2400.027136,0.852,0x0,26,2
2026-03-29T10:47:14.347581,48.5,69.3,22.6,2400.03712,0.852,0x0,26,3
2026-03-29T10:47:15.370558,50.15,68.7,22.9,2400.027136,0.852,0x0,24,4
2026-03-29T10:47:16.393789,49.6,70.2,22.9,2400.03712,0.852,0x0,26,1
2026-03-29T10:47:17.419080,49.6,70.7,22.9,2400.023808,0.852,0x0,23,3
2026-03-29T10:47:18.446746,48.5,71.9,22.7,2400.023808,0.852,0x0,23,3
2026-03-29T10:47:19.475583,49.05,75.2,22.5,2400.02048,0.852,0x0,23,1
2026-03-29T10:47:20.510480,49.6,72.2,22.4,2400.017408,0.852,0x0,23,3
2026-03-29T10:47:21.534130,47.95,70.2,22.6,2400.027136,0.852,0x0,23,2
2026-03-29T10:47:22.555119,50.7,82.2,22.6,2400.027136,0.852,0x0,26,7
2026-03-29T10:47:23.580592,50.15,69.2,22.7,2400.03712,0.852,0x0,23,4
2026-03-29T10:47:24.604662,50.7,72.0,22.7,2400.023808,0.852,0x0,23,2
2026-03-29T10:47:25.635761,49.6,74.1,22.7,2400.030464,0.852,0x0,26,1
2026-03-29T10:47:26.666858,50.15,74.1,22.4,2400.030464,0.852,0x0,26,1
2026-03-29T10:47:27.689093,50.7,70.5,22.4,2400.02048,0.852,0x0,23,3
2026-03-29T10:47:28.710383,50.7,70.5,22.6,2400.030464,0.852,0x0,23,1
2026-03-29T10:47:29.730218,51.8,70.4,22.4,2400.030464,0.852,0x0,26,1
2026-03-29T10:47:30.756925,50.7,69.4,22.5,2400.033792,0.852,0x0,26,2
2026-03-29T10:47:31.780974,51.25,75.1,22.2,2400.030464,0.852,0x0,23,1
2026-03-29T10:47:32.802193,50.7,69.4,22.0,2400.023808,0.852,0x0,23,1
2026-03-29T10:47:33.820633,51.8,69.3,22.1,2400.027136,0.852,0x0,26,
2026-03-29T10:47:34.853631,51.25,71.7,22.2,2400.033792,0.852,0x0,26,3
2026-03-29T10:47:35.877346,51.25,70.3,22.2,2400.023808,0.852,0x0,26,4
2026-03-29T10:47:36.897613,49.6,71.6,22.3,2400.030464,0.852,0x0,23,3
2026-03-29T10:47:37.980192,52.35,72.3,22.2,2400.030464,0.852,0x0,23,2
2026-03-29T10:47:39.012983,51.25,73.9,22.4,2400.033792,0.852,0x0,23,2
2026-03-29T10:47:40.043633,49.6,73.1,22.5,2400.027136,0.852,0x0,23,3
2026-03-29T10:47:41.072092,50.15,71.9,22.4,2400.023808,0.852,0x0,26,1
2026-03-29T10:47:42.092978,51.25,70.2,22.4,2400.02048,0.852,0x0,23,3
2026-03-29T10:47:43.116938,52.35,71.6,22.2,2400.030464,0.852,0x0,23,3
2026-03-29T10:47:44.137136,52.9,74.8,22.3,2400.030464,0.852,0x0,26,
2026-03-29T10:47:45.168088,51.8,83.0,22.2,2400.023808,0.852,0x0,23,4
2026-03-29T10:47:46.199455,51.25,76.0,22.3,2400.027136,0.852,0x0,23,1
2026-03-29T10:47:47.225206,52.9,73.0,22.4,2400.02048,0.852,0x0,26,5
2026-03-29T10:47:48.251075,52.35,70.2,22.5,2400.030464,0.852,0x0,27,
2026-03-29T10:47:49.277314,51.8,71.9,22.4,2400.027136,0.852,0x0,23,1
2026-03-29T10:47:50.299589,51.8,71.1,22.4,2400.02048,0.852,0x0,23,3
2026-03-29T10:47:51.331725,51.8,72.7,22.5,2400.033792,0.852,0x0,26,1
2026-03-29T10:47:52.357878,51.8,70.5,22.6,2400.030464,0.852,0x0,26,3
2026-03-29T10:47:53.378770,51.25,66.9,22.4,2400.02048,0.852,0x0,23,2
2026-03-29T10:47:54.399695,52.9,69.5,22.2,2400.02048,0.852,0x0,26,2
2026-03-29T10:47:55.418853,51.8,69.2,22.4,2400.027136,0.852,0x0,26,1
2026-03-29T10:47:56.440002,54.0,70.8,22.5,2400.02048,0.852,0x0,23,0
2026-03-29T10:47:57.458304,52.9,68.7,22.5,2400.030464,0.852,0x0,26,1
2026-03-29T10:47:58.482872,51.25,71.2,22.2,2400.033792,0.852,0x0,23,1
