timestamp,frame_count,fps,latency_ms
2026-05-20T16:48:50.295954,10,6.461,398.139
2026-05-20T16:48:51.633237,20,7.372,133.696
2026-05-20T16:48:53.038162,30,7.011,140.462
2026-05-20T16:48:54.512190,40,6.757,147.367
2026-05-20T16:48:55.723646,50,8.241,121.118
2026-05-20T16:48:56.959096,60,8.035,123.519
2026-05-20T16:48:58.196369,70,8.098,123.702
2026-05-20T16:48:59.429925,80,8.153,123.332
2026-05-20T16:49:00.695600,90,7.927,126.543
2026-05-20T16:49:01.985362,100,7.72,128.957
2026-05-20T16:49:03.255367,110,7.768,126.974
2026-05-20T16:49:04.483480,120,8.066,122.784
2026-05-20T16:49:05.732222,130,7.951,124.847
2026-05-20T16:49:07.016626,140,7.739,128.413
2026-05-20T16:49:08.275941,150,7.891,125.907
2026-05-20T16:49:09.657326,160,7.282,138.112
2026-05-20T16:49:10.971749,170,7.952,131.415
2026-05-20T16:49:12.192859,180,8.127,122.084
2026-05-20T16:49:13.466101,190,7.798,127.297
2026-05-20T16:49:14.948673,200,6.751,148.231
2026-05-20T16:49:16.223678,210,7.864,127.475
2026-05-20T16:49:17.429693,220,8.305,120.574
2026-05-20T16:49:18.623321,230,8.406,119.336
2026-05-20T16:49:19.847127,240,8.225,122.353
2026-05-20T16:49:21.099377,250,7.983,125.199
2026-05-20T16:49:22.264627,260,8.6,116.495
2026-05-20T16:49:23.494415,270,8.133,122.951
2026-05-20T16:49:24.781175,280,7.721,128.646
2026-05-20T16:49:26.060874,290,7.797,127.942
2026-05-20T16:49:27.255604,300,8.328,119.443
2026-05-20T16:49:28.459992,310,8.373,120.411
2026-05-20T16:49:29.696852,320,8.177,123.658
2026-05-20T16:49:30.889702,330,8.397,119.255
2026-05-20T16:49:32.092702,340,8.338,120.27
2026-05-20T16:49:33.291360,350,8.27,119.838
2026-05-20T16:49:34.488827,360,8.343,119.715
2026-05-20T16:49:35.725682,370,8.014,123.658
2026-05-20T16:49:36.958752,380,8.106,123.281
2026-05-20T16:49:38.160367,390,8.312,120.131
2026-05-20T16:49:39.717927,400,6.266,155.726
2026-05-20T16:49:41.874091,410,5.009,215.595
2026-05-20T16:49:43.072128,420,8.406,119.775
2026-05-20T16:49:44.273369,430,8.357,120.095
2026-05-20T16:49:45.485002,440,8.358,121.135
2026-05-20T16:49:46.719765,450,8.101,123.448
2026-05-20T16:49:48.066306,460,7.433,134.628
2026-05-20T16:49:49.541433,470,6.622,147.485
2026-05-20T16:49:50.951692,480,7.018,140.998
2026-05-20T16:49:52.218999,490,7.826,126.702
2026-05-20T16:49:53.478264,500,7.87,125.897
2026-05-20T16:49:54.754083,510,7.885,127.556
2026-05-20T16:49:56.203681,520,6.785,144.938
2026-05-20T16:49:57.429084,530,8.103,122.512
2026-05-20T16:49:58.628951,540,8.312,119.957
2026-05-20T16:49:59.851820,550,8.143,122.261
2026-05-20T16:50:01.083907,560,8.129,123.186
2026-05-20T16:50:02.370748,570,7.687,128.658
2026-05-20T16:50:03.742220,580,7.26,137.118
2026-05-20T16:50:05.059812,590,7.564,131.73
2026-05-20T16:50:06.314913,600,7.98,125.483
2026-05-20T16:50:07.555366,610,8.142,124.022
2026-05-20T16:50:08.804480,620,8.013,124.882
2026-05-20T16:50:10.074624,630,7.949,126.988
2026-05-20T16:50:11.352316,640,7.719,127.72
2026-05-20T16:50:12.659023,650,7.586,130.648
2026-05-20T16:50:13.986911,660,7.739,132.765
2026-05-20T16:50:15.218702,670,8.083,123.152
2026-05-20T16:50:16.486674,680,7.965,126.769
2026-05-20T16:50:17.763759,690,7.845,127.682
2026-05-20T16:50:18.991203,700,8.154,122.717
2026-05-20T16:50:20.513076,710,6.361,152.152
2026-05-20T16:50:21.909566,720,7.178,139.478
